260504,090000,1142.0000,1,0
260504,090000,1142.0000,1,0
260504,090000,1142.0000,1,0
260504,090000,1142.0000,1,0
260504,090000,1142.0000,1,0
260504,090000,1142.0000,2,0
260504,090000,1142.0000,1,0
260504,090000,1142.0000,6,0
260504,090000,1142.0000,1,0
260504,090000,1142.0000,2,0
260504,090000,1142.0000,1,0
260504,090000,1142.0000,1,0
260504,090001,1142.0000,11,0
260504,090001,1141.5000,4,0
260504,090001,1143.0000,3,0
260504,090001,1143.0000,3,0
260504,090002,1141.5000,3,0
260504,090002,1141.5000,1,0
260504,090002,1141.5000,5,0
260504,090002,1141.5000,2,0
260504,090002,1141.5000,7,0
260504,090002,1142.5000,2,0
260504,090003,1141.0000,12,0
260504,090021,1131.0000,1,0
260504,090021,1131.0000,1,0
260504,090102,1141.5000,3,0
260504,090102,1141.5000,11,0
260504,090102,1141.5000,2,0
260504,090102,1142.0000,14,0
260504,090102,1142.0000,1,0
260504,090102,1143.0000,4,0
260504,090102,1145.0000,56,0
260504,090102,1142.0000,8,0
260504,090102,1142.5000,8,0
260504,090102,1147.5000,23,0
260504,090102,1147.5000,8,0
260504,090408,1159.5000,1,0
260504,090408,1159.5000,3,0
260504,090411,1158.5000,1,0
260504,090411,1158.0000,1,0
260504,090411,1156.5000,4,0
260504,090411,1149.5000,8,0
260504,090411,1149.5000,2,0
260504,090442,1149.5000,1,0
260504,090442,1150.0000,1,0
260504,090442,1149.0000,7,0
260504,090442,1148.5000,9,0
260504,090442,1148.5000,28,0
260504,090515,1149.5000,27,0
260504,090517,1147.5000,1,0
260504,090517,1147.5000,30,0
260504,090518,1147.0000,23,0
260504,090521,1144.0000,1,0
260504,090521,1141.0000,4,0
260504,090536,1143.5000,13,0
260504,090536,1145.0000,1,0
260504,090536,1145.0000,8,0
260504,090539,1145.0000,50,0
260504,090539,1145.0000,46,0
260504,090539,1145.5000,8,0
260504,090539,1145.5000,8,0
260504,090720,1149.5000,9,0
260504,090720,1149.5000,8,0
260504,090720,1149.5000,8,0
260504,090720,1150.0000,14,0
260504,090720,1151.5000,19,0
260504,090725,1155.0000,3,0
260504,090739,1150.0000,2,0
260504,090905,1150.0000,8,0
260504,091000,1147.5000,3,0
260504,091000,1147.5000,3,0
260504,091000,1148.0000,8,0
260504,091000,1149.0000,17,0
260504,091000,1150.5000,31,0
260504,091017,1152.5000,5,0
260504,091017,1151.5000,5,0
260504,091017,1152.5000,1,0
260504,091018,1152.5000,3,0
260504,091018,1152.5000,1,0
260504,091018,1151.5000,1,0
260504,091019,1152.5000,1,0
260504,091019,1151.5000,1,0
260504,091107,1152.5000,8,0
260504,091107,1153.5000,15,0
260504,091107,1153.5000,6,0
260504,091108,1153.5000,5,0
260504,091109,1153.5000,10,0
260504,091110,1153.5000,5,0
260504,091249,1155.0000,4,0
260504,091300,1154.5000,2,0
260504,091354,1154.0000,2,0
260504,091354,1154.0000,2,0
260504,091354,1154.0000,2,0
260504,091354,1154.0000,1,0
260504,091354,1154.0000,1,0
260504,091354,1154.0000,2,0
260504,091355,1154.0000,3,0
260504,091356,1154.0000,2,0
260504,091401,1154.0000,5,0
260504,091418,1154.0000,1,0
260504,091418,1154.0000,1,0
260504,091433,1151.0000,1,0
260504,091433,1151.0000,7,0
260504,091433,1150.5000,1,0
260504,091433,1151.0000,6,0
260504,091433,1151.0000,15,0
260504,091433,1153.0000,4,0
260504,091433,1153.5000,3,0
260504,091433,1153.5000,2,0
260504,091434,1152.5000,5,0
260504,091434,1153.0000,1,0
260504,091434,1152.0000,1,0
260504,091435,1153.5000,5,0
260504,091435,1153.5000,1,0
260504,091435,1153.5000,5,0
260504,091435,1153.5000,4,0
260504,091435,1152.5000,4,0
260504,091437,1152.5000,3,0
260504,091438,1152.5000,1,0
260504,091509,1153.0000,7,0
260504,091509,1153.0000,3,0
260504,091510,1153.0000,2,0
260504,091510,1153.0000,2,0
260504,091516,1153.0000,8,0
260504,091516,1153.0000,2,0
260504,091517,1152.5000,4,0
260504,091518,1152.5000,1,0
260504,091535,1152.5000,3,0
260504,091535,1152.5000,8,0
260504,091535,1152.5000,7,0
260504,091606,1154.5000,21,0
